bikeid,tripduration,start_station_id,tripduration_1,starttime,stoptime,start_station_id_1,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid_1,usertype,birth_year,gender,customer_plan
30503,19510475,3082,19510049,2018-01-22T18:20:27.512000,2018-09-05T14:47:56.868000,3082,Hope St & Union Ave,40.71167351,-73.95141312,144,Nassau St & Navy St,40.69839895,-73.98068914,30503,Customer,1953,male,
30875,15966905,3349,15962256,2018-02-21T14:15:10.932000,2018-08-25T09:12:47.386000,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,30875,Customer,1988,male,
16777,15020934,3041,15020934,2018-03-15T18:21:38.801000,2018-09-05T14:50:33.416000,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,16777,Customer,1984,female,
16533,13932147,3042,13931824,2018-02-21T15:30:02.388000,2018-08-01T22:27:07.094000,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,3432,NYCBS Depot - GOW,40.669060135011073,-73.994636535644531,16533,Customer,1988,male,
18504,13589460,3042,13586276,2018-02-12T15:38:54.233000,2018-07-19T22:36:50.598000,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,18504,Subscriber,1993,female,
30446,12480576,3383,12479323,2018-03-11T03:52:30.296000,2018-08-02T14:21:14.061000,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,30446,Customer,1972,female,
33252,11749975,3064,11749576,2018-02-08T21:46:47.029000,2018-06-24T22:33:03.823000,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,33252,Customer,1969,unknown,
19957,11699746,3537,11699746,2018-01-28T03:51:28.614000,2018-06-12T14:47:15.583000,3537,Carlton Ave & Dean St,40.6809741,-73.9710097,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,19957,Customer,1969,unknown,
15336,11150422,501,11138807,2018-01-27T15:37:18.019000,2018-06-05T14:44:05.591000,501,FDR Drive & E 35 St,40.744219,-73.97121214,3245,NYCBS DEPOT - DELANCEY,40.716444231344788,-73.9823305606842,15336,Customer,1969,unknown,
24939,10283763,343,10283682,2018-05-05T13:46:13.022000,2018-09-01T14:20:55.733000,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,3081,Graham Ave & Grand St,40.711863,-73.944024,24939,Customer,1969,unknown,